date,Avg_temperature (F),Heat,Cool ,Weather Type,TLC_Precipitation (in),Avg_Speed_Wind
2019/8/1,79,0,14,BR ,0,2.2
2019/8/2,79,0,14,,0,3.5
2019/8/3,77,0,12,RA BR,0.21,3.6
2019/8/4,78,0,13,BR,0,2.6
2019/8/5,76,0,11,,0,4.4
2019/8/6,75,0,10,RA BR HZ,0.04,3.1
2019/8/7,77,0,12,RA FG BR,1.18,2.7
2019/8/8,76,0,11,RA FG BR HZ,0.2,4.7
2019/8/9,76,0,11,RA BR,0.08,3.6
2019/8/10,74,0,9,,0,5.1
2019/8/11,72,0,7,,0,3.1
2019/8/12,77,0,12,,0,3.6
2019/8/13,75,0,10,RA BR,0.07,3.5
2019/8/14,79,0,14,BR HZ,T,3.5
2019/8/15,78,0,13,BR,0,4.1
2019/8/16,74,0,9,,0,2.6
2019/8/17,80,0,15,RA BR,T,3.4
2019/8/18,80,0,15,RA BR,0.64,2.3
2019/8/19,81,0,16,,0,2.8
2019/8/20,82,0,17,,0,2.8
2019/8/21,81,0,16,RA BR HZ,0.1,3
2019/8/22,81,0,16,RA FG BR,1.01,3.9
2019/8/23,70,0,5,RA BR,0.09,3.4
2019/8/24,70,0,5,,0,5.1
2019/8/25,70,0,5,,0,8.9
2019/8/26,68,0,3,,0,6.2
2019/8/27,69,0,4,,0,3.1
2019/8/28,71,0,6,RA BR ,0.08,3.9
2019/8/29,73,0,8,,0,4.1
2019/8/30,77,0,12,,0,4.1
2019/8/31,75,0,10,,0,5.8
2019/9/1,71,0,6,,0,4.4
2019/9/2,72,0,7,RA BR ,0.3,2.5
2019/9/3,75,0,10,,0,3.3
2019/9/4,78,0,13,,0,3.8
2019/9/5,70,0,5,,0,5.1
2019/9/6,63,2,0,RA FG BR,0.32,8.3
2019/9/7,66,0,1,RA BR,0.2,4.4
2019/9/8,70,0,5,,0,2.2
2019/9/9,71,0,6,RA,T,4.4
2019/9/10,71,0,6,RA BR,0.01,2.9
2019/9/11,79,0,14,,0,5.2
2019/9/12,71,0,6,RA BR HZ,0.17,4.8
2019/9/13,65,0,0,,0,6.5
2019/9/14,68,0,3,,0,2.9
2019/9/15,75,0,10,,0,2.3
2019/9/16,73,0,8,,T,2.1
2019/9/17,69,0,4,,0,5.6
2019/9/18,63,2,0,,0,6.4
2019/9/19,61,4,0,,0,3
2019/9/20,67,0,2,,0,4.7
2019/9/21,63,0,8,,0,2.6
2019/9/22,77,0,12,HZ,0,3.5
2019/9/23,80,0,15,RA BR,0.11,5.4
2019/9/24,70,0,5,,0,5.7
2019/9/25,69,0,4,,0,3.3
2019/9/26,73,0,8,RA,0.02,3.5
2019/9/27,68,0,3,,0,3.5
2019/9/28,74,0,9,,0,2.8
2019/9/29,73,0,8,,0,6.3
2019/9/30,66,0,1,,0,6.9
2019/10/1,72,0,7,,0,3.7
2019/10/2,78,0,13,RA BR,0.03,6.4
2019/10/3,58,7,0,RA BR,0.34,6.3
2019/10/4,58,7,0,RA BR,T,6.9
2019/10/5,53,12,0,,0,4.9
2019/10/6,64,1,0,RA,0.01,2.8
2019/10/7,69,0,4,RA BR,0.2,4.1
2019/10/8,61,4,0,RA BR,0.02,7.9
2019/10/9,55,10,0,RA BR,0.54,10.5
2019/10/10,62,3,0,,T,9.5
2019/10/11,60,5,0,,0,9.2
2019/10/12,61,4,0,,0,3.6
2019/10/13,60,5,0,,T,2.1
2019/10/14,65,0,0,,0,4
2019/10/15,58,7,0,,0,3
2019/10/16,59,6,0,RA BR,1.83,6.4
2019/10/17,54,11,0,,0,11.6
2019/10/18,53,12,0,,0,8.7
2019/10/19,52,13,0,,0,2.6
2019/10/20,54,11,0,RA FG BR,0.54,4.4
2019/10/21,59,6,0,,T,4.1
2019/10/22,59,6,0,RA BR,0.057,4.4
2019/10/23,60,5,0,RA BR,0.01,6.2
2019/10/24,59,6,0,,0,3.2
2019/10/25,59,6,0,,0,3
2019/10/26,58,7,0,RA,0.01,3.4
2019/10/27,61,4,0,RA FG BR,1.38,4.8
2019/10/28,59,6,0,,0,3.6
2019/10/29,57,8,0,RA BR,0.7,4.1
2019/10/30,61,4,0,RA BR,0.06,3.11
2019/10/31,66,0,1,RA BR,0.54,5.2
2019/11/1,57,8,0,RA BR,0.11,9.7
2019/11/2,47,18,0,,0,3.7
2019/11/3,48,17,0,,0,4.8
2019/11/4,49,16,0,,0,3.2
2019/11/5,56,9,0,,0,3
2019/11/6,50,15,0,,0,4.9
2019/11/7,49,16,0,RA BR,0.1,4.6
2019/11/8,35,30,0,,0,7.6
2019/11/9,34,31,0,,0,3.1
2019/11/10,45,20,0,,0,3.8
2019/11/11,54,11,0,,0,2.4
2019/11/12,41,24,0,RA,0.04,9.4
2019/11/13,29,36,0,,0,5.4
2019/11/14,37,28,0,,0,4.3
2019/11/15,44,21,0,,0,4.2
2019/11/16,37,28,0,,0,10.2
2019/11/17,37,28,0,,0,10.4
2019/11/18,40,25,0,RA BR UP,0.48,6
2019/11/19,44,21,0,RA BR,0.18,4.5
2019/11/20,45,20,0,,0,5.2
2019/11/21,46,19,0,,0,4.4
2019/11/22,46,19,0,RA BR,0.07,7.3
2019/11/23,40,25,0,RA,0.03,4.2
2019/11/24,43,22,0,RA BR,0.9,8
2019/11/25,46,19,0,,0,5.1
2019/11/26,53,12,0,,0,4.3
2019/11/27,54,11,0,RA,0.04,4.3
2019/11/28,45,20,0,,T,11.5
2019/11/29,35,30,0,,0,6.2
2019/11/30,37,28,0,,0,4.3
2019/12/1,35,30,0,RA FZRA SN BR UP,0.62,9.8
2019/12/2,34,31,0,RA SN FG BR,0.48,8.4
2019/12/3,33,32,0,SN BR,0.02,7.1
2019/12/4,36,29,0,RA HZ,T,5.4
2019/12/5,39,26,0,,0,9.4
2019/12/6,42,23,0,,0,7.3
2019/12/7,34,31,0,,0,6.9
2019/12/8,37,28,0,,0,2.6
2019/12/9,49,16,0,RA FG BR,1.57,4.4
2019/12/10,49,16,0,RA BR,0.13,6.9
2019/12/11,36,29,0,RA SN FG FZFG BR UP,0.26,6.2
2019/12/12,31,34,0,,0,4.6
